Instance, D-Wave p(s), Classical SA p(s)
Benchmarking--108q--15us--02-Aug-2012-17-27-29.txt, 0.506793, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-37.txt, 0.777072, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-46.txt, 0.844137, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-55.txt, 0.858316, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-28-03.txt, 0.506819, 0.90
Benchmarking--108q--15us--02-Aug-2012-17-28-12.txt, 0.413793, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-28-21.txt, 0.176396, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-28-29.txt, 0.009441, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-28-38.txt, 0.970843, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-28-47.txt, 0.088693, 0.84
Benchmarking--108q--15us--02-Aug-2012-17-28-55.txt, 0.071158, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-29-04.txt, 0.000140, 0.61
Benchmarking--108q--15us--02-Aug-2012-17-29-13.txt, 0.006166, 0.94
Benchmarking--108q--15us--02-Aug-2012-17-29-21.txt, 0.966512, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-29-30.txt, 0.374769, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-29-38.txt, 0.974066, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-29-47.txt, 0.816324, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-29-56.txt, 0.677317, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-30-05.txt, 0.019413, 0.94
Benchmarking--108q--15us--02-Aug-2012-17-30-13.txt, 0.318822, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-30-22.txt, 0.628992, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-30-30.txt, 0.766057, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-30-39.txt, 0.010200, 0.93
Benchmarking--108q--15us--02-Aug-2012-17-30-48.txt, 0.387588, 0.90
Benchmarking--108q--15us--02-Aug-2012-17-30-56.txt, 0.170768, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-05.txt, 0.881954, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-14.txt, 0.008074, 0.96
Benchmarking--108q--15us--02-Aug-2012-17-31-22.txt, 0.881975, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-31-31.txt, 0.901058, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-40.txt, 0.747270, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-48.txt, 0.521821, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-57.txt, 0.721341, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-06.txt, 0.946922, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-14.txt, 0.935153, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-23.txt, 0.933804, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-31.txt, 0.689939, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-40.txt, 0.655270, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-49.txt, 0.834066, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-57.txt, 0.933179, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-06.txt, 0.083608, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-15.txt, 0.084531, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-33-23.txt, 0.941616, 1.00
